TIP AGENTIE,SHOP NAME,lat,lng,link,ORAS,Suprafata utila,Status Oras,Status shop,HCL,Anexa,Taxa locala,New cost/sop,Nota calcul Primarie,Dosar autorizare depus,Autorizatie Emisa,Nr. Aparate,Observatii,Acte necesare pt. autorizare
AGENTIE 2.0 LIGHT,BACAU 23-APRODU,46.582762,26.910123,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,68.07,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 25-ALECU RUSSO,46.554232,26.919565,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,77.4,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 24-BICAZ,46.532785,26.921379,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,61,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 22-RUBINULUI,46.573843,26.914982,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,56.8,To be banned,To be closed,119/01.04.2026,,,0,,,,4,interzicere totala,
STANDARD,BACAU 20-PIATA SUD,46.551781,26.910928,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,80.5,To be banned,To be closed,119/01.04.2026,,,0,,,,4,interzicere totala,
STANDARD,BACAU 19-GARA,46.566655,26.895696,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,63.9,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 18-MILCOV,46.54992563,26.92162812,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,36.5,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 16-CALEA REPUBLICII,46.533947,26.919322,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,89.1,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 10-MIHAI VITEAZU,46.567832,26.912692,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,75.1,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 11-MARASESTI,46.550067,26.913596,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,59.7,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 14-MIORITEI,46.572003,26.896949,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,75.6,To be banned,To be closed,119/01.04.2026,,,0,,,,12,interzicere totala,
STANDARD,BACAU 08-ENERGIEI,46.568173,26.901627,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,68.1,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 07-PIATA NORD,46.57509858,26.90951843,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,30.4,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 06-REPUBLICII,46.536756,26.918333,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,58,To be banned,To be closed,119/01.04.2026,,,0,,,,1,interzicere totala,
STANDARD,BACAU 05-AMAN,46.56125662,26.9175322,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,50.9,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 04-STEFAN CEL MARE,46.576022,26.915865,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,36,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 03-MIORITEI,46.57183492,26.89784923,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,82.4,To be banned,To be closed,119/01.04.2026,,,0,,,,3,interzicere totala,
STANDARD,BACAU 02-MARASESTI,46.547851,26.914604,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,53.6,To be banned,To be closed,119/01.04.2026,,,0,,,,1,interzicere totala,
STANDARD,BACAU 01-MIHAI VITEAZU,46.56841971,26.9127903,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,47,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
AGENTIE 2.0,BAIA MARE 04-MARA,47.651025,23.566841,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,60.9,Safe,#N/A,200/24.04.2026,Da,2000,121800,,Nu,,5,,
STANDARD,BAIA MARE 10-DECEBAL,47.651765,23.549227,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,84.3,Safe,#N/A,200/24.04.2026,Da,2000,168600,,Nu,,5,,
STANDARD,BAIA MARE 08-TRAIAN,47.6481326,23.5542952,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,55,Safe,#N/A,200/24.04.2026,Da,2000,110000,,Nu,,0,,
STANDARD,BAIA MARE 07-GARA,47.6486057,23.5551814,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,80.2,Safe,#N/A,200/24.04.2026,Da,2000,160400,,Nu,,5,,
STANDARD,BAIA MARE 06-RFN,47.6589188,23.5563271,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,85.3,Safe,#N/A,200/24.04.2026,Da,2000,170600,,Nu,,5,,
STANDARD,BAIA MARE 03-CULTURII,47.65739,23.57108,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,43.1,Safe,#N/A,200/24.04.2026,Da,2000,86200,,Nu,,1,,
STANDARD,BAIA MARE 01-REPUBLICII,47.650111,23.56125,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAIA MARE,51.1,Safe,#N/A,200/24.04.2026,Da,2000,102200,,Nu,,0,,
STANDARD,BAICOI 01-REPUBLICII,45.033381,25.867352,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAICOI,39.2,N/A,#N/A,,,,0,,,,4,,
STANDARD,BAILE HERCULANE 01-TRANDAFIRILOR,44.866338,22.405963,,BAILE HERCULANE,58.5,N/A,#N/A,,,,0,,,,0,,
STANDARD,BAILESTI 01-VICTORIEI,44.0243862,23.3469361,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BAILESTI,54.8,To be banned,To be closed,57/24.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BALOTESTI 01-VALUE CENTER,44.604695,26.067829,,BALOTESTI,35.6,N/A,#N/A,,,,0,,,,0,,
STANDARD,BALS 02-MONUMENT,44.3462659,24.1176151,,BALS,48,N/A,#N/A,,,,0,,,,5,,
STANDARD,BALS 01-N.BALCESCU,44.3504904,24.1015,,BALS,43,N/A,#N/A,,,,0,,,,5,,
STANDARD,BALTENI 01-SCHILERU,44.862263,23.280833,,BALTENI,37.4,N/A,#N/A,,,,0,,,,0,,
PARTENER SSBT ADM,SSBT ADM BARLAD 535-REPUBLICII,46.21951,27.665991,,BARLAD,15,N/A,#N/A,,,,0,,,,0,,
STANDARD,BARLAD 03-1 DECEMBRIE,46.226998,27.67101,,BARLAD,77.9,N/A,#N/A,,,,0,,,,5,,
STANDARD,BARLAD 02-AUTOGARA,46.21599,27.672431,,BARLAD,39.5,N/A,#N/A,,,,0,,,,5,,
STANDARD,BECLEAN 01-ALEEA GARII,47.179209,24.180527,,BECLEAN,54.3,N/A,#N/A,,,,0,,,,0,,
STANDARD,BEIUS 01-CALEA BIHORULUI,46.6665337,22.3562395,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BEIUS,51.9,Safe,#N/A,61/24.04.2026,Da,300,15570,N/A,Nu,,0,Taxa anuala se achita in 30 de zile de la emiterea autorizatiei,"Cerere, CUI, certificat constataor, licenta, acte detinere spatiu,dupa caz extras CF informare actualizat la zi din care sa rezulte functiunea spatiului si suprafata desfasurata, contract cale de aceeas cu primaria Beius valabil pe anul in curs, contract de inchiriere valabil pe anul in curs inregistrat la ANAF, contract de comodat, copie dupa autorizatia de construire privind schimbarea destinatiei spatiului- daca este cazul, ISU sau negatie,acordul asociatiei de proprietari cu viza asociatiei  pentru locatiile aflate la parterul blocului,dovada achitarii taxa afisaj, contract salubrizare, CAF fara datorii."
STANDARD,BERCA 01-1 DECEMBRIE,45.285697,26.683768,,BERCA,54.3,N/A,#N/A,,,,0,,,,0,,
